iter	Passed	Remaining
0	144	144706
1	147	73818
2	149	49618
3	150	37430
4	151	30102
5	151	25181
6	154	21923
7	156	19366
8	156	17282
9	157	15602
10	158	14238
11	159	13106
12	161	12231
13	163	11520
14	165	10838
15	166	10244
16	167	9711
17	168	9206
18	169	8756
19	171	8392
20	174	8123
21	175	7796
22	176	7497
23	177	7232
24	178	6973
25	180	6750
26	181	6533
27	182	6323
28	182	6125
29	183	5938
30	185	5790
31	186	5633
32	187	5489
33	188	5348
34	189	5211
35	189	5082
36	191	4986
37	192	4868
38	194	4801
39	195	4699
40	196	4596
41	197	4498
42	199	4432
43	199	4344
44	201	4269
45	202	4192
46	202	4113
47	203	4038
48	204	3967
49	205	3896
50	205	3828
51	206	3765
52	210	3753
53	210	3692
54	211	3634
55	212	3585
56	213	3537
57	214	3488
58	216	3446
59	217	3401
60	217	3354
61	218	3311
62	219	3267
63	220	3222
64	222	3200
65	223	3165
66	224	3128
67	225	3089
68	226	3053
69	227	3017
70	227	2982
71	228	2950
72	229	2916
73	230	2882
74	231	2851
75	232	2823
76	234	2811
77	235	2781
78	238	2782
79	239	2754
80	240	2725
81	240	2697
82	241	2665
83	241	2637
84	243	2620
85	244	2597
86	245	2578
87	246	2554
88	247	2537
89	248	2516
90	251	2514
91	253	2499
92	253	2476
93	254	2455
94	255	2433
95	256	2414
96	257	2394
97	257	2374
98	260	2369
99	261	2357
100	262	2337
101	263	2318
102	263	2298
103	265	2288
104	267	2277
105	268	2262
106	269	2246
107	270	2233
108	271	2222
109	272	2204
110	273	2193
111	274	2178
112	275	2162
113	276	2146
114	277	2133
115	277	2118
116	278	2101
117	279	2089
118	280	2080
119	282	2070
120	283	2056
121	283	2043
122	284	2031
123	285	2017
124	286	2004
125	287	1991
126	287	1977
127	288	1968
128	290	1960
129	291	1951
130	292	1938
131	292	1925
132	293	1913
133	295	1907
134	296	1898
135	297	1890
136	298	1878
137	298	1866
138	299	1855
139	301	1849
140	302	1844
141	303	1832
142	303	1821
143	304	1811
144	305	1801
145	306	1792
146	307	1785
147	308	1776
148	309	1770
149	310	1760
150	311	1751
151	312	1742
152	313	1734
153	314	1727
154	315	1718
155	316	1710
156	317	1702
157	317	1693
158	318	1684
159	319	1675
160	319	1665
161	321	1660
162	321	1652
163	322	1644
164	323	1637
165	324	1632
166	325	1624
167	326	1615
168	326	1607
169	327	1599
170	328	1594
171	329	1588
172	331	1586
173	332	1578
174	333	1571
175	334	1563
176	334	1556
177	336	1555
178	337	1547
179	338	1541
180	339	1536
181	340	1529
182	340	1521
183	341	1514
184	342	1507
185	342	1500
186	344	1495
187	345	1490
188	345	1484
189	347	1480
190	348	1474
191	348	1468
192	349	1461
193	350	1454
194	351	1450
195	352	1444
196	353	1438
197	354	1434
198	354	1428
199	355	1422
200	356	1416
201	356	1410
